D3,HR,TILT,FQ,OBS,RSRP
302.8811648,2.58490566,16.8,2600,0,-93
307.561376,2.74,17.2,2600,0,-93
308.5206638,2.74,17.1,2600,0,-93
311.4000642,2.74,16.9,2600,0,-92
312.3603688,2.74,16.9,2600,0,-97
314.2817208,2.74,16.7,2600,0,-99
316.204048,2.74,16.6,2600,0,-97
326.7935128,2.74,16,2600,0,-100
331.6157415,2.74,15.8,2600,0,-98
338.462701,2.97826087,16.2,2600,0,-96
338.462701,2.97826087,16.2,2600,0,-90
345.210081,2.97826087,15.9,2600,0,-90
355.123922,3.044444444,15.6,2600,0,-97
363.8241333,3.044444444,15.2,2600,0,-100
622.2539674,2.795918367,8.2,2600,0,-89
620.2741329,2.795918367,8.2,2600,0,-89
614.3354133,2.795918367,8.3,2600,0,-86
608.3978961,2.795918367,8.4,2600,0,-84
604.4402369,2.795918367,8.5,2600,0,-85
601.4723601,2.795918367,8.5,2600,0,-85
596.526613,2.795918367,8.6,2600,0,-85
590.7427528,2.854166667,8.8,2600,0,-83
586.1953599,2.634615385,8.4,2600,0,-87
581.2486559,2.634615385,8.5,2600,0,-85
574.624225,2.74,8.8,2600,0,-83
565.7296174,2.74,9,2600,0,-81
559.343365,2.58490566,8.7,2600,0,-86
556.3775696,2.58490566,8.8,2600,0,-86
552.4237504,2.58490566,8.9,2600,0,-82
552.4237504,2.58490566,8.9,2600,0,-77
545.1495208,2.795918367,9.4,2600,0,-85
540.7226646,2.634615385,9.2,2600,0,-86
542.0276746,2.74,9.4,2600,0,-87
541.0406639,2.74,9.4,2600,0,-86
539.0667862,2.74,9.4,2600,0,-85
540.6560829,2.322033898,8.4,2600,0,-87
539.6665637,2.322033898,8.4,2600,0,-85
537.6876417,2.322033898,8.4,2600,0,-86
532.2800015,1.756410256,6.4,2600,0,-86
530.2923722,1.756410256,6.4,2600,0,-84
531.836441,2.634615385,9.3,2600,0,-85
530.8493195,2.634615385,9.3,2600,0,-85
526.901319,2.634615385,9.4,2600,0,-88
522.9541089,2.634615385,9.5,2600,0,-86
519.9942307,2.634615385,9.5,2600,0,-88
515.4046954,2.446428571,9.2,2600,0,-90
512.4421919,2.446428571,9.2,2600,0,-89
508.1781184,2.362068966,9,2600,0,-90
506.2025286,2.362068966,9.1,2600,0,-86
503.0834921,2.322033898,9,2600,0,-87
501.1077728,2.322033898,9.1,2600,0,-86
499.132247,2.322033898,9.1,2600,0,-88
499.132247,2.322033898,9.1,2600,0,-89
499.2894952,2.362068966,9.2,2600,0,-86
500.2769233,2.362068966,9.2,2600,0,-87
500.2769233,2.362068966,9.2,2600,0,-84
500.9530916,2.283333333,9,2600,0,-84
503.7658186,2.245901639,8.8,2600,0,-87
503.7658186,2.245901639,8.8,2600,0,-87
508.0236215,2.322033898,8.9,2600,0,-87
503.0834921,2.322033898,9,2600,0,-87
489.0991719,2.283333333,9.2,2600,0,-83
478.2394798,2.283333333,9.4,2600,0,-82
467.3863498,2.283333333,9.6,2600,0,-86
455.554607,2.283333333,9.9,2600,0,-88
443.731901,2.283333333,10.1,2600,0,-80
431.1148339,2.322033898,10.6,2600,0,-84
418.3359894,2.322033898,10.9,2600,0,-87
405.5712021,2.322033898,11.3,2600,0,-87
394.40715,2.446428571,12.1,2600,0,-89
383.6482764,2.446428571,12.5,2600,0,-91
372.9034728,2.446428571,12.9,2600,0,-88
363.9024595,2.403508772,13,2600,0,-95
354.1539213,2.403508772,13.4,2600,0,-98
345.3925303,2.403508772,13.8,2600,0,-95
345.3925303,2.403508772,13.8,2600,0,-101
337.8535186,2.446428571,14.3,2600,0,-101
330.5888685,2.537037037,15,2600,0,-100
323.81785,2.537037037,15.4,2600,0,-97
314.1623784,2.537037037,15.9,2600,0,-102
306.7262623,2.58490566,16.5,2600,0,-98
300.9601302,2.58490566,16.9,2600,0,-103
300.9601302,2.58490566,16.9,2600,0,-99
295.4894245,2.634615385,17.5,2600,0,-99
290.0431002,2.68627451,18.1,2600,0,-101
284.0176051,2.634615385,18.2,2600,0,-101
281.15654,2.634615385,18.5,2600,0,-100
279.5567921,2.68627451,18.8,2600,0,-100
279.5567921,2.68627451,18.9,2600,0,-100
280.5084669,2.68627451,18.8,2600,0,-97
283.0282671,2.795918367,19.1,2600,0,-98
285.5748588,2.74,18.7,2600,0,-98
289.3872838,2.74,18.4,2600,0,-95
296.0709374,2.74,17.9,2600,0,-104
301.8111993,2.74,17.5,2600,0,-109
309.4802094,2.74,17.1,2600,0,-109
309.4802094,2.74,17.1,2600,0,-110
314.5600102,2.795918367,16.9,2600,0,-110
321.2864765,2.795918367,16.5,2600,0,-103
328.7217668,2.74,15.9,2600,0,-107
335.7379931,2.795918367,15.8,2600,0,-100
342.4981752,2.795918367,15.4,2600,0,-103
342.4981752,2.795918367,15.4,2600,0,-101
349.0171916,2.74,14.9,2600,0,-101
356.7702342,2.74,14.6,2600,0,-102
364.533949,2.74,14.2,2600,0,-102
373.2800557,2.74,13.9,2600,0,-87
383.0117492,2.74,13.5,2600,0,-99
393.7321425,2.74,13.1,2600,0,-96
403.491016,2.74,12.8,2600,0,-90
414.2390614,2.74,12.4,2600,0,-89
424.0212259,2.74,12.1,2600,0,-90
433.4166587,2.634615385,11.6,2600,0,-90
442.245407,2.634615385,11.3,2600,0,-91
452.0630487,2.634615385,11,2600,0,-95
461.8885147,2.634615385,10.8,2600,0,-89
470.7377189,2.634615385,10.6,2600,0,-96
480.5767368,2.634615385,10.3,2600,0,-93
491.4071632,2.634615385,10.1,2600,0,-94
501.2594139,2.634615385,9.9,2600,0,-91
512.1035052,2.634615385,9.7,2600,0,-98
521.9674319,2.634615385,9.5,2600,0,-90
521.9674319,2.634615385,9.5,2600,0,-90
520.8733051,2.322033898,8.7,2600,0,-76
525.966729,2.362068966,8.7,2600,0,-76
530.9105386,2.362068966,8.7,2600,0,-81
531.8994266,2.362068966,8.6,2600,0,-81
534.8663384,2.362068966,8.6,2600,0,-91
537.8336174,2.362068966,8.5,2600,0,-94
539.8120043,2.362068966,8.5,2600,1,-88
540.8012574,2.362068966,8.5,2600,1,-98
540.9482415,2.403508772,8.6,2600,1,-103
541.9372657,2.403508772,8.6,2600,1,-102
541.9372657,2.403508772,8.6,2600,1,-96
543.9154346,2.403508772,8.6,2600,1,-97
541.9372657,2.403508772,8.6,2600,1,-104
542.2361109,2.490909091,8.8,2600,1,-105
542.2361109,2.490909091,8.8,2600,1,-96
541.4000369,2.537037037,8.9,2600,1,-93
539.4237666,2.537037037,9,2600,1,-90
538.4356972,2.537037037,9,2600,1,-95
538.4356972,2.537037037,9,2600,0,-104
538.7476218,2.634615385,9.2,2600,0,-103
540.7226646,2.634615385,9.2,2600,0,-98
543.530128,2.58490566,9,2600,0,-102
546.4942818,2.58490566,8.9,2600,0,-100
551.7435999,2.68627451,9.1,2600,0,-103
556.6830337,2.68627451,9,2600,0,-102
564.7415338,2.74,9,2600,0,-105
570.6706581,2.74,8.9,2600,0,-105
578.5784303,2.74,8.8,2600,0,-105
587.4776591,2.74,8.6,2600,0,-109
598.3585881,2.74,8.5,2600,0,-108
607.9712164,2.634615385,8.1,2600,0,-109
617.8745827,2.634615385,8,2600,0,-109
626.790236,2.634615385,7.9,2600,0,-109
636.6993011,2.634615385,7.7,2600,0,-110
645.6198572,2.634615385,7.6,2600,0,-109
654.5425884,2.634615385,7.5,2600,0,-110
654.5425884,2.634615385,7.5,2600,0,-112
674.3782322,2.634615385,7.3,2600,0,-113
688.3930563,2.68627451,7.2,2600,0,-108
699.3082296,2.68627451,7.1,2600,0,-109
711.0984461,2.634615385,6.9,2600,0,-107
725,2.634615385,6.8,2600,0,-104
739.020974,2.68627451,6.7,2600,0,-104
755.5726305,2.537037037,6.4,2600,0,-105
768.495283,2.537037037,6.2,2600,0,-102
786.3923957,2.537037037,6.1,2600,0,-109
800.4198898,2.58490566,6.1,2600,0,-110
815.33858,2.58490566,5.9,2600,0,-111
831.8557567,2.403508772,5.5,2600,0,-111
847.7829911,2.403508772,5.4,2600,0,-108
863.7129153,2.403508772,5.3,2600,0,-108
877.5631031,2.362068966,5.2,2600,0,-110
896.2282075,2.245901639,4.9,2600,0,-106
907.4453152,2.362068966,5,2600,0,-112
917.407761,2.362068966,5,2600,0,-116
933.3493451,2.362068966,4.9,2600,0,-114
943.2306187,2.322033898,4.8,2600,0,-118
956.1866973,2.322033898,4.7,2600,0,-114
968.985036,2.245901639,4.5,2600,0,-115
978.9545444,2.245901639,4.5,2600,0,-117
994.9839195,2.283333333,4.5,2600,0,-116
1005.951291,2.283333333,4.4,2600,1,-119
1018.913637,2.283333333,4.4,2600,1,-117
1027.888126,2.283333333,4.3,2600,1,-118
1036.863057,2.283333333,4.3,2600,1,-117
1045.76527,2.245901639,4.2,2600,1,-119
1058.731316,2.245901639,4.1,2600,1,-121
1067.77994,2.283333333,4.2,2600,1,-119
1077.754146,2.283333333,4.1,2600,1,-122
1084.736374,2.283333333,4.1,2600,1,-120
1090.651182,2.245901639,4,2600,1,-122
1096.636676,2.245901639,4,2600,1,-123
1112.879149,2.403508772,4.1,2600,0,-107
1115.019282,2.490909091,4.2,2600,0,-107
1114.021993,2.490909091,4.2,2600,0,-107
1116.016577,2.490909091,4.2,2600,0,-110
1116.016577,2.490909091,4.2,2600,0,-114
1116.016577,2.490909091,4.2,2600,0,-114
1114.946187,2.446428571,4.2,2600,0,-106
1113.948832,2.446428571,4.2,2600,0,-107
1112.101614,2.537037037,4.3,2600,0,-104
1112.101614,2.537037037,4.3,2600,0,-104
1284.076711,2.140625,3.3,1800,0,-90
1269.101257,2.140625,3.3,1800,0,-90
1254.126389,2.140625,3.3,1800,1,-87
1239.035916,2.075757576,3.3,1800,0,-85
1225.059182,2.075757576,3.3,1800,1,-92
1210.910814,1.985507246,3.2,1800,0,-91
1197.931551,1.985507246,3.3,1800,0,-93
1185.010548,2.014705882,3.3,1800,0,-87
1174.029386,2.014705882,3.4,1800,0,-89
1164.04682,2.014705882,3.4,1800,0,-90
1152.890715,1.929577465,3.3,1800,0,-90
1142.907258,1.929577465,3.3,1800,0,-93
1135.349285,2.140625,3.7,1800,1,-94
1135.349285,2.140625,3.7,2600,1,-101
1127.365957,2.140625,3.7,2600,1,-101
1119.382866,2.140625,3.8,2600,1,-103
1111.270444,2.075757576,3.7,2600,0,-105
1104.284836,2.075757576,3.7,2600,0,-109
1097.299412,2.075757576,3.7,2600,0,-106
1088.318428,2.075757576,3.8,2600,0,-109
1079.749045,2.283333333,4.1,2600,0,-110
1070.357417,2.075757576,3.8,2600,0,-113
1063.718478,2.245901639,4.1,2600,0,-112
1055.739078,2.245901639,4.1,2600,0,-110
1045.76527,2.245901639,4.2,2600,0,-109
1036.016409,2.362068966,4.4,2600,0,-108
1027.042842,2.362068966,4.4,2600,0,-104
1017.07276,2.362068966,4.5,2600,0,-102
1006.94836,2.283333333,4.4,2600,0,-101
996.9779336,2.283333333,4.4,2600,0,-96
986.1693567,2.362068966,4.6,2600,0,-93
974.2083966,2.362068966,4.7,2600,0,-90
962.2484087,2.362068966,4.7,2600,0,-93
951.2859717,2.362068966,4.8,2600,0,-93
938.3314979,2.362068966,4.8,2600,0,-89
927.3710153,2.362068966,4.9,2600,0,-89
916.4114796,2.362068966,5,2600,0,-92
906.4491161,2.362068966,5,2600,0,-90
895.4914852,2.362068966,5.1,2600,0,-89
883.5389069,2.362068966,5.2,2600,0,-88
